time,homeplayer,awayplayer,homescore,awayscore,set1homescore,set1awayscore,set2homescore,set2awayscore,set3homescore,set3awayscore,set4homescore,set4awayscore,set5homescore,set5awayscore,nset
01.11.2018,Dzumhur D.,Djokovic N.,0,1,1,6,1,2,0,0,0,0,0,0,3
14.10.2018,Coric B.,Djokovic N.,0,2,3,6,4,6,0,0,0,0,0,0,3
13.10.2018,Zverev A.,Djokovic N.,0,2,2,6,1,6,0,0,0,0,0,0,3
12.10.2018,Anderson K.,Djokovic N.,0,2,6,1,7,7,3,6,0,0,0,0,5
11.10.2018,Cecchinato M.,Djokovic N.,0,2,4,6,0,6,0,0,0,0,0,0,3
09.09.2018,Del Potro J.,Djokovic N.,0,3,3,6,6,4,7,7,3,6,0,0,5
08.09.2018,Nishikori K.,Djokovic N.,0,3,3,6,4,6,2,6,0,0,0,0,5
06.09.2018,Djokovic N.,Millman J.,3,0,6,3,6,4,6,4,0,0,0,0,5
03.09.2018,Djokovic N.,Sousa J.,3,0,6,3,6,4,6,3,0,0,0,0,5
02.09.2018,Djokovic N.,Gasquet R.,3,0,6,2,6,3,6,3,0,0,0,0,5
31.08.2018,Djokovic N.,Sandgren T.,3,1,6,1,6,3,6,2,7,7,6,2,5
19.08.2018,Djokovic N.,Federer R.,2,0,6,4,6,4,0,0,0,0,0,0,3
18.08.2018,Djokovic N.,Cilic M.,2,1,6,4,3,6,6,3,0,0,0,0,5
17.08.2018,Raonic M.,Djokovic N.,1,2,5,7,6,4,3,6,0,0,0,0,5
17.08.2018,Djokovic N.,Dimitrov G.,2,1,2,6,6,3,6,4,0,0,0,0,5
15.08.2018,Djokovic N.,Mannarino A.,2,1,4,6,6,2,6,1,0,0,0,0,5
09.08.2018,Tsitsipas S.,Djokovic N.,2,1,6,3,6,5,7,7,6,3,0,0,5
08.08.2018,Polansky P.,Djokovic N.,0,2,3,6,4,6,0,0,0,0,0,0,3
15.07.2018,Anderson K.,Djokovic N.,0,3,2,6,2,6,6,3,7,7,0,0,5
14.07.2018,Djokovic N.,Nadal R.,3,2,6,4,3,6,7,11,6,9,3,6,5
11.07.2018,Djokovic N.,Nishikori K.,3,1,6,3,3,6,6,2,6,2,0,0,5
09.07.2018,Khachanov K.,Djokovic N.,0,3,4,6,2,6,2,6,0,0,0,0,5
07.07.2018,Edmund K.,Djokovic N.,1,3,6,4,3,6,2,6,4,6,0,0,5
05.07.2018,Zeballos H.,Djokovic N.,0,3,1,6,2,6,3,6,0,0,0,0,5
24.06.2018,Cilic M.,Djokovic N.,2,1,5,7,7,7,6,4,6,3,0,0,5
23.06.2018,Chardy J.,Djokovic N.,0,2,6,5,7,7,4,6,0,0,0,0,5
22.06.2018,Mannarino A.,Djokovic N.,0,2,5,7,1,6,0,0,0,0,0,0,3
21.06.2018,Djokovic N.,Dimitrov G.,2,0,6,4,6,1,0,0,0,0,0,0,3
05.06.2018,Cecchinato M.,Djokovic N.,3,1,6,3,7,7,6,4,1,6,7,13,5
03.06.2018,Djokovic N.,Verdasco F.,3,0,6,3,6,4,6,2,0,0,0,0,5
01.06.2018,Bautista R.,Djokovic N.,1,3,4,6,7,8,6,6,6,4,7,7,5
30.05.2018,Munar J.,Djokovic N.,0,3,6,1,7,7,4,6,4,6,0,0,5
19.05.2018,Nadal R.,Djokovic N.,2,0,7,7,6,4,6,3,0,0,0,0,5
18.05.2018,Nishikori K.,Djokovic N.,1,2,6,2,1,6,3,6,0,0,0,0,5
17.05.2018,Djokovic N.,Ramos A.,2,0,6,1,7,5,0,0,0,0,0,0,3
16.05.2018,Djokovic N.,Basilashvili N.,2,0,6,4,6,2,0,0,0,0,0,0,3
09.05.2018,Edmund K.,Djokovic N.,2,1,6,3,2,6,6,3,0,0,0,0,5
19.04.2018,Djokovic N.,Thiem D.,1,2,7,7,6,2,2,6,3,6,0,0,5
18.04.2018,Djokovic N.,Coric B.,2,0,7,7,6,2,7,5,0,0,0,0,5
22.01.2018,Djokovic N.,Chung H.,0,3,6,4,7,7,5,7,6,3,7,7,5
20.01.2018,Djokovic N.,Ramos A.,3,0,6,2,6,3,6,3,0,0,0,0,5
18.01.2018,Djokovic N.,Monfils G.,3,1,4,6,6,3,6,1,6,3,0,0,5
12.07.2017,Berdych T.,Djokovic N.,1,0,7,7,6,2,2,0,0,0,0,0,5
11.07.2017,Mannarino A.,Djokovic N.,0,3,2,6,6,5,7,7,4,6,0,0,5
